| Вы должны быть таким, каким хотите увидеть мир. | М. Ганди.
| Любящая семья — это дорогой осьминог, от чьих щупалец мы никогда не убегаем и даже не желаем этого в собственном сердце. | Д. Смит.
| Быть семьей означает являться частью чего-то очень замечательного. Это означает, что вы будете любить и сами будете любимыми всю оставшуюся жизнь. | Л. Ведн.
| Ни один мужчина и ни одна женщина не знают, что такое настоящая любовь, пока не проживут в браке четверть века. | М. Твен.
| В семейной жизни самый важный винт — это любовь. | А. Чехов.
| С чего начинается семья? С того, что молодой человек влюбляется в девушку, — другой способ пока еще не изобретен. | У. Черчилль.
| Тот человек, у которого истинные друзья не остаются долго, имеет тяжелый нрав. | Демокрит.
| Истинный друг познается в несчастье. | Эзоп.
| Где нет полной откровенности, полной доверенности, где скрывается хотя малость какая-нибудь, там нет и не может быть дружбы. | В. Белинский.
| Друзья узнают нас, когда мы в достатке, а мы по-настоящему узнаем их в беде. | Д. Коллинз.
| Настоящий друг — это тот, кто думает, что вы — хорошее яйцо, даже если знает, что вы слегка протухли. | Б. Мельцер.
| Один верный друг — дороже 10 родственников. | Эврипид.
| Друзья — это те люди, которые задавая тебе вопрос — «Как у тебя дела» — действительно ждут на него ответ. | Э. Каннингхэм.
| Главным ингредиентом дружбы является проявление уважения и способность быть самим собой. | Р. Олстид.
| На этой земле нет большей ценности, чем дружба. | Т. Аквинас.
| Дружба — это всегда приятная ответственность, а вовсе не возможность. | К. Джебран.
| Лучшие друзья — это те, кто знает, как поет ваша душа, и могут подпевать вам, когда вы забываете слова. | Неизвестный автор.
| Истинные друзья — это те, кто любит тебя несмотря ни на что. Даже если у тебя «во дворе» злая собака. | Р. Банч.
| Иногда, лучше любой психотерапии помогает разговор с друзьями. | А. Тренфор.
| Истинные друзья никогда не устанут слушать твои бесполезные жизненные драмы снова и снова. | Л. Конрад.
| Многие люди хотят прокатиться с вами в лимузине, но вам нужен человек, который сядет и составит вам компанию в автобусе, когда ваш лимузин сломался. | О. Уинфри.
| Вещи становятся не такими страшными, когда у тебя есть лучший друг. | Б. Уотерсон.
| Лучший друг — это не только тот, кто всегда рядом. Но и тот, кто понимает вас чуть лучше, чем вы себя. | Неизвестный автор.
| Многие люди приходят и уходят из нашей жизни, но только настоящие друзья оставляют следы в нашем сердце. | Э. Рузвельт.
| Вы ничего не теряете, когда теряете фальшивых друзей. | Д. Джетт.
| Кто тебе настоящий друг, узнаешь, когда попадешь в скандал. | Э. Тейлор.
| Дружба и доверие не покупаются и не продаются. | Г. Троепольский.
| Многие имеют тысячу коротко знакомых, но ни одного друга. Иметь верного и разумного друга — иметь от Бога великую милость. Истинные друзья суть один для другого целый свет. Верный друг есть утешение в сей жизни и сокровище неоценённое. | Георгий, затворник Задонский.
| Лучшим друзьям нет необходимости о чём-то ежедневно говорить. Они могут даже неделями не общаться. Но когда они начинают болтать — их уже не остановить. | Неизвестный автор.
| Хорошие друзья помогают тебе найти важные вещи, когда ты их теряешь… Такие как твоя улыбка, твоя надежда, твоя смелость и храбрость. | Д. Зантамата.
| Новые друзья представляют собой новую вселенную, которую начинаешь изучать в день их появления. | П. Коэльо.
| Когда ты старше двадцати пяти, сваливать вину на родителей запрещается. | Д. Барнс.
| Для маленьких детей совершенно необходимо, чтобы жизнь шла по заведённому порядку, а главное, чтобы этот порядок завели они сами. | А. Линдгрен.
| Если наше сердце полно любви, каждый встречный будет нам братом или сестрой. Именно так живут дети — просто, естественно, легко принимая других. | Далай-лама.
| Каждое дитя до некоторой степени гений и каждый гений до некоторой степени дитя. | А. Шопенгауэр.
| Главный недостаток отцов: они хотят, чтобы дети ими гордились. | Б. Рассел.
| У ребёнка своё особое умение видеть, думать и чувствовать; нет ничего глупее, чем пытаться подменить у них это умение нашим. | Ж. Руссо.
| Лучший способ сделать детей хорошими ― это сделать их счастливыми. | О. Уайльд.
| Каждое дитя до некоторой степени гений и каждый гений до некоторой степени дитя. | А. Шопенгауэр.
| Лучшее средство привить детям любовь к отечеству состоит в том, чтобы эта любовь была у отцов. | Ш. Монтескье.
| Каждый ребёнок — художник. Трудность в том, чтобы остаться художником, выйдя из детского возраста. | П. Пикассо.
| У философов и у детей есть одна благородная черта: они не придают значения никаким различиям между людьми — ни социальным, ни умственным, ни внешним. | А. Аверченко.
| Если бы только родители могли себе представить, как они надоедают своим детям! | Б. Шоу.
| Пытливый мальчишеский ум начинает работать, едва мальчишка проснётся, и работает до тех пор, пока не начинается первый урок. | Р. Фрост.
| Детская прелесть кроется в том, что с каждым ребёнком всё обновляется и мир заново предстаёт на суд человеческий. | Г. Честертон.
| Когда кругом всё удивительно, ничто не вызывает удивления; это и есть детство. | А. Ривароль.
| Не делайте из ребенка кумира: когда он вырастет — потребует много жертв. | П. Буаст.
| Как ужасен был бы мир, если бы не рождались постоянно дети, несущие с собой невинность и возможность всякого совершенства. | Д. Рескин.
| Родители меньше всего прощают своим детям те пороки, которые они сами им привили. | И. Шиллер.
| Без детей нельзя было бы так любить человечество. | Ф. Достоевский.
| Дети сразу и непринужденно осваиваются со счастьем, ибо они сами по природе своей — радость и счастье. | В. Гюго.
| Я уверен, что если бы пришлось выбирать: жить там, где детский гам не прекращается ни на минуту, или же там, где он никогда не слышен, то все нормальные и здоровые люди предпочли бы непрекращающийся шум непрекращающейся тишине. | Б. Шоу.
| Достаточно одного ребенка, чтобы заполнить весь дом и двор. | М. Твен.
| Ребенок – это любовь, ставшая зримой. | Новалис.
| Каждый человек всегда чей-нибудь ребенок. | П. Бомарше.
| Счастье — это не про веселье. Счастье это когда мы делаем что-то действительно важное. | М. Лагас.
| Истинное счастье достигается не через самоудовлетворение, а через верность достойной цели. | Х. Келлер.
| Делать то, что тебе нравится — это свобода. Любить то, что ты делаешь, — это счастье. | Ф. Тайгер.
| Не принимайте жизнь слишком серьезно. Вы никогда не выберетесь оттуда живым. | Э. Хаббард.
| Люди обычно счастливы настолько, насколько им самим хочется. | А. Линкольн.
| Счастье — это состояние, в котором ничего не потеряно. | Н. Равикант.
| Счастье обратно соотносится с желанием. | Неизвестный автор.
| Постоянное счастье — это любопытство. | Э. Манро.
| Быть счастливым — значит быть удовлетворенным. Быть удовлетворенным — значит принимать. | М. Лагас.
| Все счастье зависит от смелости и труда. | О. Бальзак.
| Быть счастливым — не единственное счастье. | А. Уокер.
| Счастье — это дар, и хитрость заключается не в том, чтобы ожидать его, а в том, чтобы наслаждаться им, когда оно приходит. | Ч. Диккенс.
| Истинное счастье возникает, в первую очередь, от удовлетворения самим собой. | Д. Аддисон.
| Самое большое приключение, которое вы можете предпринять, — это жить жизнью своей мечты. | О. Уинфри.
| Лучший способ подбодрить себя — это попытаться подбодрить кого-то другого. | М. Твен.
| Самое главное — это наслаждаться жизнью и быть счастливым. Это все, что имеет значение. | О. Хепберн.
| Три главные составляющие счастья в этой жизни — это что-то делать, что-то любить и на что-то надеяться. | Д. Аддисон.
| Счастье — это не что-то готовое. Оно происходит от ваших собственных действий. | Далай Лама.
| Я очень счастлив, потому что победил себя, а не весь мир. Я очень счастлив, потому что я любил мир, а не себя. | Ш. Чинмой.
| Вы сможете достигнуть блаженства только тогда, когда перестанете гнаться за ним. | Х. Гунаратана.
| Ваше счастье и покой омрачают ваши безграничные желания. | Н. Равикант.
| Счастье, не в другом месте, но в этом месте… не в течение другого часа, но в этот час. | У. Уитмен.
| Не плачь, потому что уже все кончено, улыбайся, потому что это случилось. | Лю Якобовскии.
| Счастье заключается в радости достижения и трепете творческих усилий. | Ф. Рузвельт.
| Что такое счастье? Ощущение того, что сила растет, а сопротивление преодолено. | Ф. Ницше.
| В конце концов, имеет значение, не сколько лет вы прожили. Значение будет иметь то, сколько жизни было в этих прожитых годах. | А. Линкольн.
| Многие люди упускают свою долю счастья не потому, что никогда его не находили, а потому, что не переставали наслаждаться им. | У. Фезер.
| Люди несчастливы, когда получают что-то слишком легко. Вы должны потеть — это единственная мораль, которую они знают. | Д. Лаферьер.
| Возможности не приходят сами — вы создаете их. | К. Гроссер.
| Успех обычно приходит к тем, кто слишком занят, чтобы его просто ждать. | Г. Торо.
| Возьмите идею. Сделайте ее своей жизнью — думайте о ней, мечтайте о ней, живите ею. Пусть ваш разум, мышцы, нервы, каждая часть тела будет наполнена этой одной идеей. Вот он — путь к успеху. | Свами Вивекананда.
| Чтобы достичь успеха, перестаньте гнаться за деньгами, гонитесь за мечтой. | Т. Шей.
| Даже если вы проходите через ад, продолжайте идти. | У. Черчилль.
| Что бы ты ни придумал, всегда найдется тот, кто уже делал это до тебя. Так что главное ― сделать это лучше. | А. Челентано.
| Мечтайте так, как будто вам жить вечно. Живите так, как будто вам умирать сегодня. | Д. Дин.
| Не хмурь бровей из-за ударов рока. Упавший духом гибнет раньше срока. | О. Хайям.
| Великие дела нужно совершать, а не обдумывать их бесконечно. | Ю. Цезарь.
| Оправдания — это ложь, которую вы говорите самим себе. Прекратите хныкать, жаловаться и вести себя как дети. Оправдания делают человека бедным. | Р. Кийосаки.
| Тот, кто не сталкивался с трудностями, не познает силы. Тому, кто не знавал бедствий, не нужна смелость. Загадочно, однако, то, что самые лучшие черты характера в человеке, как раз и прорастают в почве, наполненной трудностями. | Г. Фосдик
| Лучший способ взяться за что-то — перестать говорить и начать делать. | У. Дисней.
| Хотите знать, кто вы? Не спрашивайте. Действуйте! Действие будет описывать и определять вас. | Т. Джефферсон.
| Ничем в мире нельзя заменить упорство. Его не может заменить талант — никого не встретишь так часто, как талантливого неудачника. Его не может заменить гениальность — непризнанные гении почти вошли в пословицу. Одного образования тоже недостаточно — мир полон образованных изгоев. Только упорство и решимость всесильны. Фраза «работай дальше» была и остается решением всех проблем человеческой расы. | К. Кулидж.
| В ту минуту, когда вы соглашаетесь на меньшее по сравнению с тем, что заслуживаете, вы получаете даже меньше, чем то, на что согласились. | М. Дауд.
| Одна победа не ведет к успеху, в отличие от постоянного желания побеждать. | В. Ломбарди.
| Осуществляйте свои мечты, или кто-то наймет вас для осуществления своих. | Ф. Грей.
| Успех – это лестница, на нее не взобраться, держа руки в карманах. | П. Баует.
| Всегда помните о том, что ваша решимость преуспеть важнее всего остального. | А. Линкольн.
| Я твердо верю в удачу, и я заметил: чем больше я работаю, тем я удачливее. | Т. Джефферсон.
| Пока у тебя есть попытка ― ты не проиграл. | С. Бубка.
| Я этого хочу. Значит, это будет. | Г. Форд .
| Каждое утро начинай с чтения списка самых богатых людей. Если тебя там нет ― берись за работу. | Р. Орбен.
| Каждый раз нужно прыгать со скалы и отращивать крылья по пути вниз. | Р. Брэдбери.
| Каждая мечта тебе дается вместе с силами, необходимыми для ее осуществления. Однако тебе, возможно, придется ради этого потрудиться. | Р. Бах.
| Чтобы дойти до цели, человеку нужно только одно. Идти. | О. Бальзак.
| Ты никогда не переплывешь океан, если будешь бояться потерять берег из виду. | Х. Колумб.
| Если ты рожден без крыльев, не мешай им расти. | К. Шанель.
| Не бойтесь пожертвовать хорошим ради еще лучшего». | Д. Рокфеллер.
| Есть два вида людей, которые будут вам говорить, что вы не сможете чего-то добиться: те, кто сами боятся пробовать, и те, кто боятся, что у вас получится. | Р. Гофорт.
| Успешные люди делают то, что неуспешные не хотят делать. Не стремитесь, чтобы было легче, стремитесь, чтобы было лучше. | Д. Рон.
| Многие люди терпят неудачу только потому, что сдаются в двух шагах от успеха. | С. Хартли.
| Поднимите планку. Делайте то, на что вы вроде бы не способны. Не задумывайтесь о пределе ваших возможностей. Делайте то, чего сделать не можете. | П. Арден.
| Бездействие порождает беспокойство и страх. Действие — уверенность и смелость. Если ты хочешь победить страх, не сиди дома и не думай об этом. Встань и действуй. | М. Джей.
| Хорошо там, где меня нет… Но ничего, я и туда доберусь! |
| Дети — цветы жизни. И им тоже нужны горшки. |
| Даже самую унылую комнату украшают дети… красиво расставленные по углам. |
| Хорошо, когда тебе 4 года. Ты можешь взять сломанный пульт и позвонить маме. |
| Наша жизнь — это постоянный выбор, кому доверить свой безымянный палец, а кому средний. |
| Идеал жениха для большинства девушек — принц с наивностью коня. |
| Человек я простой, поэтому протираю корону всего раз в день! |
| Дорогой мой, запомни! Молчание у меня — не знак согласия! Это предвестник беды! |
| Не поеду в этом году на Кипр. В прошлом году не поехал на Мальдивы, в позапрошлом — на Таити. На следующий год не знаю, куда не поеду. |
| Есть два способа командовать женщинами. Но их никто не знает. |
| Женщина непобедима в умении сдаваться. |
| Женщины умирают позже мужчин, потому что вечно опаздывают. |
| Взгляд одной женщины на другую напоминает контроль багажа на таможне. |
| Женщины не прощают нам ошибок — даже своих собственных. |
| Женщины не мыслят. Они замышляют. |
| Услышав мои желания, золотая рыбка сделала вид, что сдохла. |
| Ночь. Город засыпает. Просыпаются сидящие на диете и идут к холодильнику. |
| Я легко втираюсь в доверие. Я кот. |
| «А не пойти ли мне на работу», — подумал я. И не пошел. |
| На работе хочется только одного — в подушкино царство, одеяльское государство. |
| На работе: до обеда хочется есть, после обеда — спать. И всё время такое чувство, что пора домой! |
| Удалённая работа — это не только приятно, но и круглосуточно. |
| Родители настолько простые устройства, что ими могут управлять даже дети. |
| Мы снова ждём ребёнка… Теперь уже из ночного клуба. |
| Самый лучший возраст у детей — это когда вы уже не водите их за руку, а они ещё не водят вас за нос. |
| Факт о человеческой лени №212682340236: вы слишком ленивы, чтобы прочитать это число. |
| Папа Карло посадил дерево, из дерева вырастил сына, а из сына построил дом. Вот это мужик! |
| Если чёрный кот перешёл дорогу туда и обратно — он удвоил наказание или отменил своё решение? |
| Беря от жизни всё, на всякий случай помни, где брал. |
| Пока не узнала, что про меня говорят, никогда бы не подумала, какая интересная у меня жизнь! |
| Жизнь — это непрерывный праздник. Но не всегда твой. |
| Жизнь бьёт ключом, и всё по голове. |
| Когда мы встречаемся с друзьями, то становимся теми, от кого родители велели держаться подальше! |
| Главное в жизни — не терять людей, с которыми у вас в голове тараканы одного вида. |
| Дружба — это когда безумные идеи приходят в две головы одновременно. |
| Друзья никогда не допустят того, чтобы ты занимался глупостями… без них! |
| Необязательно рассказывать мужчине о своих недостатках, это с радостью сделают твои подруги! |
| Каждый мужчина имеет какие-нибудь достоинства, только нужно ему на них указать. |
| Если мужчина утверждает, что он в доме хозяин, значит он и в других случаях лжет. | неизвестный автор.
| Еще ни одной женщине не удавалось сделать из мужчины полного идиота без его активной помощи. | неизвестный автор.
| Если мужчина приготовил для вас обед и в салате более трех составляющих, считайте, что у него серьезные намерения. | неизвестный автор.
| Мужчины признают наличие женской интуиции, но называют ее по-своему: «Накаркала!» | неизвестный автор.
| Разница между мужчиной и мальчиком заключается в стоимости их игрушек. | неизвестный автор.
| Всеобщее мнение, что у мужчин бывают угрызения совести, исходит из смелого предположения, что у мужчин есть совесть. | неизвестный автор.
| Мужчина уже наполовину влюблен в каждую женщину, которая его слушает. | неизвестный автор.
| Правильно брошенный мужчина возвращается как бумеранг. | неизвестный автор.
| По мере развития отношений один обязательно наглеет. Главное — успеть первым. | неизвестный автор.
| Если ты хочешь выйти замуж за умного, красивого, богатого и доброго, то тебе придется выходить замуж 4 раза. | неизвестный автор.
| Хорошо, когда ума палата, плохо, если это палата для сумасшедших. | неизвестный автор.
| Многие готовы скорее умереть, чем подумать. Часто, кстати, так и случается. | неизвестный автор.
| Хочешь сделать карьеру? Не делай лицо умнее, чем у начальника! | неизвестный автор.
| Я не в том возрасте, когда глупости делаются неосознанно. Я в том возрасте, когда они делаются осознанно и с удовольствием. | неизвестный автор.
| Все, что не делается до 30, обязательно делается после. | неизвестный автор.
| Мы просто должны быть вместе. Я и деньги. | неизвестный автор.
